"word","buyer","total_amount"
"textron","Public Prosecution Service of Canada",0
"dynamics","Public Prosecution Service of Canada",0
"dettwiler","Public Prosecution Service of Canada",0
"atomics","Public Prosecution Service of Canada",0
"skyalyne","Department of Finance Canada",0
"vancouver shipyards","Department of Finance Canada",0
"cae","Department of Finance Canada",0
"f35","Department of Finance Canada",0
"bell","Department of Finance Canada",0
"airbus","Department of Finance Canada",0
"textron","Department of Finance Canada",0
"dynamics","Department of Finance Canada",0
"dettwiler","Department of Finance Canada",0
"atomics","Department of Finance Canada",0
"skyalyne","Public Safety Canada",0
"vancouver shipyards","Public Safety Canada",0
"cae","Public Safety Canada",0
"f35","Public Safety Canada",0
"airbus","Public Safety Canada",0
"textron","Public Safety Canada",0
"dettwiler","Public Safety Canada",0
"atomics","Public Safety Canada",0
"skyalyne","Canadian Human Rights Commission",0
"vancouver shipyards","Canadian Human Rights Commission",0
"cae","Canadian Human Rights Commission",0
"f35","Canadian Human Rights Commission",0
"airbus","Canadian Human Rights Commission",0
"textron","Canadian Human Rights Commission",0
"dynamics","Canadian Human Rights Commission",0
"dettwiler","Canadian Human Rights Commission",0
"atomics","Canadian Human Rights Commission",0
"skyalyne","Canadian Transportation Agency",0
"vancouver shipyards","Canadian Transportation Agency",0
"cae","Canadian Transportation Agency",0
"f35","Canadian Transportation Agency",0
"airbus","Canadian Transportation Agency",0
"textron","Canadian Transportation Agency",0
"dynamics","Canadian Transportation Agency",0
"dettwiler","Canadian Transportation Agency",0
"atomics","Canadian Transportation Agency",0
"skyalyne","Office of the Auditor General of Canada",0
"vancouver shipyards","Office of the Auditor General of Canada",0
"cae","Office of the Auditor General of Canada",0
"f35","Office of the Auditor General of Canada",0
"airbus","Office of the Auditor General of Canada",0
"textron","Office of the Auditor General of Canada",0
"dynamics","Office of the Auditor General of Canada",0
"dettwiler","Office of the Auditor General of Canada",0
"atomics","Office of the Auditor General of Canada",0
"skyalyne","Elections Canada",0
"vancouver shipyards","Elections Canada",0
"cae","Elections Canada",0
"f35","Elections Canada",0
"airbus","Elections Canada",0
"textron","Elections Canada",0
"dynamics","Elections Canada",0
